title,date,L,E,M,C,B,A,i+,i,i-
"Matematiikka, pitkä oppimäärä",Kevät 2008,059,051,042,031,022,014,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2008,048,038,030,022,015,009,,,
"Ruotsi, pitkä oppimäärä",Kevät 2008,272,252,230,197,155,115,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2008,262,232,204,171,138,110,,,
"Suomi, pitkä oppimäärä",Kevät 2008,281,261,242,217,187,142,,,
"Suomi, keskipitkä oppimäärä",Kevät 2008,265,241,214,185,150,113,,,
"Englanti, pitkä oppimäärä",Kevät 2008,267,245,223,198,168,127,,,
"Saksa, pitkä oppimäärä",Kevät 2008,278,254,234,210,181,133,,,
"Saksa, lyhyt oppimäärä",Syksy 2007,283,257,231,200,167,133,,,
"Englanti, lyhyt oppimäärä",Syksy 2007,267,237,210,180,150,117,,,
"Ranska, lyhyt oppimäärä",Syksy 2007,281,257,231,201,171,132,,,
"Venäjä, lyhyt oppimäärä",Syksy 2007,284,265,235,195,165,125,,,
"Espanja, lyhyt oppimäärä",Syksy 2007,289,275,257,228,184,132,,,
"Italia , lyhyt oppimäärä",Syksy 2007,290,272,250,207,177,130,,,
